GNDA_ADC,VDDS_DDR,VDD_PHYA,VDD_CORE,VDD_1V8FT,GND_EARTH,VDD_MPU,VDD_3V3B,VDD_1V8
1,1,1,1,1,1,0,0,0
1,1,1,1,1,0,1,0,0
1,1,1,1,1,0,0,1,0
1,1,1,1,1,0,0,0,1
1,1,1,1,0,1,1,0,0
1,1,1,1,0,1,0,1,0
1,1,1,1,0,1,0,0,1
1,1,1,1,0,0,1,1,0
1,1,1,1,0,0,1,0,1
1,1,1,1,0,0,0,1,1
1,1,1,0,1,1,1,0,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,0,1
1,1,1,0,1,0,1,1,0
1,1,1,0,1,0,1,0,1
1,1,1,0,1,0,0,1,1
1,1,1,0,0,1,1,1,0
1,1,1,0,0,1,1,0,1
1,1,1,0,0,1,0,1,1
1,1,1,0,0,0,1,1,1
1,1,0,1,1,1,1,0,0
1,1,0,1,1,1,0,1,0
1,1,0,1,1,1,0,0,1
1,1,0,1,1,0,1,1,0
1,1,0,1,1,0,1,0,1
1,1,0,1,1,0,0,1,1
1,1,0,1,0,1,1,1,0
1,1,0,1,0,1,1,0,1
1,1,0,1,0,1,0,1,1
1,1,0,1,0,0,1,1,1
1,1,0,0,1,1,1,1,0
1,1,0,0,1,1,1,0,1
1,1,0,0,1,1,0,1,1
1,1,0,0,1,0,1,1,1
1,1,0,0,0,1,1,1,1
1,0,1,1,1,1,1,0,0
1,0,1,1,1,1,0,1,0
1,0,1,1,1,1,0,0,1
1,0,1,1,1,0,1,1,0
1,0,1,1,1,0,1,0,1
1,0,1,1,1,0,0,1,1
1,0,1,1,0,1,1,1,0
1,0,1,1,0,1,1,0,1
1,0,1,1,0,1,0,1,1
1,0,1,1,0,0,1,1,1
1,0,1,0,1,1,1,1,0
1,0,1,0,1,1,1,0,1
1,0,1,0,1,1,0,1,1
1,0,1,0,1,0,1,1,1
1,0,1,0,0,1,1,1,1
1,0,0,1,1,1,1,1,0
1,0,0,1,1,1,1,0,1
1,0,0,1,1,1,0,1,1
1,0,0,1,1,0,1,1,1
1,0,0,1,0,1,1,1,1
1,0,0,0,1,1,1,1,1
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,0,1,0
0,1,1,1,1,1,0,0,1
0,1,1,1,1,0,1,1,0
0,1,1,1,1,0,1,0,1
0,1,1,1,1,0,0,1,1
0,1,1,1,0,1,1,1,0
0,1,1,1,0,1,1,0,1
0,1,1,1,0,1,0,1,1
0,1,1,1,0,0,1,1,1
0,1,1,0,1,1,1,1,0
0,1,1,0,1,1,1,0,1
0,1,1,0,1,1,0,1,1
0,1,1,0,1,0,1,1,1
0,1,1,0,0,1,1,1,1
0,1,0,1,1,1,1,1,0
0,1,0,1,1,1,1,0,1
0,1,0,1,1,1,0,1,1
0,1,0,1,1,0,1,1,1
0,1,0,1,0,1,1,1,1
0,1,0,0,1,1,1,1,1
0,0,1,1,1,1,1,1,0
0,0,1,1,1,1,1,0,1
0,0,1,1,1,1,0,1,1
0,0,1,1,1,0,1,1,1
0,0,1,1,0,1,1,1,1
0,0,1,0,1,1,1,1,1
0,0,0,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,0,1,0
1,1,1,1,1,1,0,0,1
1,1,1,1,1,0,1,1,0
1,1,1,1,1,0,1,0,1
1,1,1,1,1,0,0,1,1
1,1,1,1,0,1,1,1,0
1,1,1,1,0,1,1,0,1
1,1,1,1,0,1,0,1,1
1,1,1,1,0,0,1,1,1
1,1,1,0,1,1,1,1,0
1,1,1,0,1,1,1,0,1
1,1,1,0,1,1,0,1,1
1,1,1,0,1,0,1,1,1
1,1,1,0,0,1,1,1,1
1,1,0,1,1,1,1,1,0
1,1,0,1,1,1,1,0,1
1,1,0,1,1,1,0,1,1
1,1,0,1,1,0,1,1,1
1,1,0,1,0,1,1,1,1
1,1,0,0,1,1,1,1,1
1,0,1,1,1,1,1,1,0
1,0,1,1,1,1,1,0,1
1,0,1,1,1,1,0,1,1
1,0,1,1,1,0,1,1,1
1,0,1,1,0,1,1,1,1
1,0,1,0,1,1,1,1,1
1,0,0,1,1,1,1,1,1
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,1
0,1,1,1,1,1,0,1,1
0,1,1,1,1,0,1,1,1
0,1,1,1,0,1,1,1,1
0,1,1,0,1,1,1,1,1
0,1,0,1,1,1,1,1,1
0,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,0,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,0,1,1,1,1
1,1,1,0,1,1,1,1,1
1,1,0,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1
